,Unnamed: 0,t[s],q_fl1,qd_fl1,qdd_fl1,Tau_fl1,q_fl2,qd_fl2,qdd_fl2,Tau_fl2,q_fl3,qd_fl3,qdd_fl3,Tau_fl3,q_fr1,qd_fr1,qdd_fr1,Tau_fr1,q_fr2,qd_fr2,qdd_fr2,Tau_fr2,q_fr3,qd_fr3,qdd_fr3,Tau_fr3,q_bl1,qd_bl1,qdd_bl1,Tau_bl1,q_bl2,qd_bl2,qdd_bl2,Tau_bl2,q_bl3,qd_bl3,qdd_bl3,Tau_bl3,q_br1,qd_br1,qdd_br1,Tau_br1,q_br2,qd_br2,qdd_br2,Tau_br2,q_br3,qd_br3,qdd_br3,Tau_br3
156,156,2.623999999999965,0.0743053427612928,-0.2318367050079047,0,-1.9476428288473224,-0.4432675533081106,-0.0233547187537515,0,-0.7897579072645073,1.1654852219814196,0.8532653544007485,0,-1.5792492586969569,-0.0040197144929044,-0.2294461873011398,0,1.2671620126989225,-0.4439840627937632,0.021810710174107,0,-1.0540890978545687,1.0337915165377909,-0.313898584364091,0,-1.6344874422321984,-0.0981627067113794,-0.2531292243277645,0,2.630525464087612,0.546465540799022,-0.4107127831200344,0,0.7961035758179313,-1.3274000820917038,0.2167623421925926,0,2.5868821769192856,-0.1217063045870465,-0.2997936434202282,0,-1.911285885353694,0.6245340258636646,0.0741849479587438,0,0.8248297976996196,-1.3686043317229108,0.1566730737226256,0,2.713727152774424
157,157,2.627999999999965,0.0733727497693245,-0.2335881925479196,0,-1.9447566865687895,-0.4433601416175968,-0.023118650099138,0,-0.7935440559982098,1.168870045808979,0.8439608187320001,0,-1.588486266645607,-0.0049391866526256,-0.2300146998181539,0,1.2743940260281237,-0.4438967267416742,0.0218522745500234,0,-1.0484059555292238,1.0325382360485498,-0.3131819002218596,0,-1.6293483621606957,-0.0991554591061336,-0.2466351511492314,0,2.635495067515472,0.5448397089818693,-0.405096350541007,0,0.8005138281127178,-1.3265410002836358,0.2141005980262646,0,2.5895910358751246,-0.1228868543117349,-0.293677057656158,0,-1.9053313935130607,0.6248280015341576,0.0732580202961496,0,0.8188276324328794,-1.367974341050662,0.1578014583370964,0,2.706970072299315
158,158,2.6319999999999646,0.0724332594642344,-0.2353043142982581,0,-1.9415158036525864,-0.4434519464913748,-0.0229354624052707,0,-0.7969467952355046,1.1722168929433678,0.8344036625922551,0,-1.5972188200721382,-0.0058608667456457,-0.2305620156712953,0,1.2822819393073857,-0.4438092433506485,0.021887969140187,0,-1.0437350403895127,1.0312876770416606,-0.3125137739859549,0,-1.6249482812984242,-0.1001220966145383,-0.2400933808169499,0,2.6411748079405517,0.5432368330569765,-0.399315759505425,0,0.8051993171778574,-1.3256930370273825,0.2112818768012812,0,2.5928243385025604,-0.1240427437069352,-0.2874946660859808,0,-1.8995855814972331,0.6251187000240667,0.0724741298384572,0,0.8118900999430281,-1.3673404511475786,0.1587253009383706,0,2.6993602852945275
159,159,2.635999999999964,0.0714852530782535,-0.2378666638053598,0,-1.937669176225386,-0.4435473733158011,-0.0249022946347998,0,-0.801008509572791,1.1755270412675691,0.8257209364458535,0,-1.6056226268772027,-0.0067854704899565,-0.2314929867104543,0,1.2885502694685074,-0.4437212953764546,0.0220909301252547,0,-1.0381792933776195,1.030039139389211,-0.3121355615365733,0,-1.6197067025586784,-0.1010614932762259,-0.2330357705031548,0,2.6452660213692765,0.5416569700472427,-0.3936691773944143,0,0.8104013940780277,-1.324856001722192,0.2087094899405404,0,2.595644113588854,-0.1251729347984198,-0.2808491902508905,0,-1.8926837708425952,0.6254069564456939,0.0719687293108227,0,0.8065033723654245,-1.366703802559608,0.1592894934848225,0,2.692471997670426
160,160,2.639999999999964,0.0705245735976518,-0.2408967294087285,0,-1.9335977129990527,-0.4436559128160672,-0.0277845723263489,0,-0.8044442948747982,1.1788049419670814,0.8174346015304408,0,-1.6128537319479068,-0.0077150627495938,-0.2326919302910295,0,1.294645576493361,-0.4436319170574703,0.0224381410215285,0,-1.0339110390958186,1.028790966480267,-0.3120709717311622,0,-1.6150490084040925,-0.1019710885929023,-0.2256252554712406,0,2.650691146213365,0.5400993863675404,-0.3880226998998538,0,0.8174475959165025,-1.3240282002728585,0.2063624856406246,0,2.599164701145728,-0.1262750011933372,-0.2738415396386467,0,-1.8870056066965983,0.6256942141951264,0.0717493736560406,0,0.8001911958223832,-1.3660661535595142,0.159484248228446,0,2.6848213426028917
161,161,2.6439999999999637,0.0695532157667315,-0.2434559852046308,0,-1.9302712380318328,-0.4437724990057153,-0.0295448719575727,0,-0.8075999584210838,1.18204738801571,0.8083831727128902,0,-1.62072289083322,-0.0086488683446806,-0.2336988273619571,0,1.3006258539205329,-0.4435413586377374,0.0227165014778577,0,-1.027905021181792,1.0275427534812074,-0.3121034320455815,0,-1.609193850455814,-0.1028514535664901,-0.2183481425892226,0,2.65438869987208,0.5385655343634677,-0.3819968491881171,0,0.8239218547949948,-1.323210492593038,0.2037776637683364,0,2.601909311129468,-0.1273494169960919,-0.2669566370151491,0,-1.880920398780721,0.6259810604064832,0.0716857155696178,0,0.7955267552783793,-1.3654284979292215,0.1594216811198417,0,2.678533090093643
162,162,2.647999999999963,0.0685727830453116,-0.2456358091259883,0,-1.9255711699807965,-0.443893755435515,-0.0305417657640859,0,-0.8110458724997562,1.185251432239485,0.7986056391301932,0,-1.6282652951998833,-0.0095861297989399,-0.2345180014079015,0,1.306719883795041,-0.4434498591880532,0.0229378051991855,0,-1.0240435807163926,1.0262943271644516,-0.3121623081496589,0,-1.6048919343774566,-0.1037031045629033,-0.211198283491394,0,2.65932729989728,0.5370567943333688,-0.3756365319343291,0,0.829942404264966,-1.322403908820714,0.2009296916245158,0,2.6052684584605257,-0.1283965486154963,-0.2601537756766382,0,-1.8751626340309784,0.6262681114479801,0.071775172850604,0,0.7885592405798671,-1.3647917485968448,0.1591401738055649,0,2.670547622276543
163,163,2.6519999999999624,0.0675845912996505,-0.2475023435060115,0,-1.9222086225236727,-0.4440174637601584,-0.031044525397041,0,-0.8148794379937648,1.1884144367263485,0.7881906576584196,0,-1.6365388233059193,-0.0105262305525876,-0.2351935360836227,0,1.3135315906633054,-0.4433576230205878,0.0231101514809311,0,-1.019156185105854,1.0250454454807456,-0.3122923358014583,0,-1.599805125952546,-0.1045264414626912,-0.2041401807283873,0,2.66382102254118,0.5355742713031588,-0.3690178658592319,0,0.8346891638379343,-1.3216094303963872,0.1978427045636347,0,2.6075703974694084,-0.1294167207714195,-0.2534314315138296,0,-1.8699808183291304,0.6265558789654794,0.0719848799774711,0,0.7826979743805365,-1.3641568334276473,0.1586230330853032,0,2.6636501491143845
164,164,2.655999999999962,0.066589683011736,-0.2491241182927661,0,-1.9173668182877448,-0.4441421758194492,-0.0312236758896148,0,-0.8190106690232943,1.1915340410048934,0.7772015872834478,0,-1.6447194213044831,-0.0114685459037509,-0.2357098629147444,0,1.3197029658058366,-0.4432648561790174,0.0232303691169634,0,-1.0145368482470072,1.023796009503619,-0.312432647061539,0,-1.5951354729805376,-0.1053217953656936,-0.1971620805100767,0,2.6676612354008027,0.5341189100212097,-0.3621702885442759,0,0.8387722267046769,-1.3208280766210687,0.1944965535449348,0,2.610028095018784,-0.1304102207919876,-0.2467782383745339,0,-1.8636019014088392,0.6268448334360313,0.0723109240857701,0,0.7765312478471289,-1.3635245818609365,0.1579076593711462,0,2.6561950917776542
165,165,2.659999999999961,0.0655889212300193,-0.2505392527970265,0,-1.9143338358368849,-0.444266971132478,-0.0311998537932381,0,-0.8216129209179304,1.1946081720204498,0.7657123381460954,0,-1.652784325423778,-0.012412641630379,-0.2361328743762921,0,1.3258233299494298,-0.4431716825306034,0.0233259369886415,0,-1.0076932533938043,1.0225459342939114,-0.3125975123621145,0,-1.589105201637459,-0.1060894368500742,-0.190247477809884,0,2.67077921730614,0.5326914664771176,-0.3551460458175904,0,0.8449251716910202,-1.3200607850939643,0.1909243879348068,0,2.612778313414247,-0.1313771855181174,-0.2401486876691141,0,-1.8586755050379848,0.6271354313978008,0.0727501790999543,0,0.7712301696477855,-1.362895801234375,0.1569894395472274,0,2.6497701031109915
